tick,t,ax,ay,az,ayaw,sp_n,sp_e,sp_d,v_n,v_e,v_d,yaw_cmd,p_n,p_e,p_d,vel_n,vel_e,vel_d,roll,pitch,yaw
0,0.0005,0.0019216537475585938,-1.0468006905739458e-08,-0.03170633316040039,0.0,-7.916823046875001,1.5219081641749785,-1.7425766468048096,3.4027099507071077e-06,-0.003843305988862617,-0.06341266632080078,-1.5699055194854736,-8.195409774780273,1.6126290559768677,-1.441596508026123,-0.29287412762641907,-0.21801859140396118,-0.4867345690727234,0.03986286371946335,0.02793889120221138,-1.5699055194854736
1,0.1007,0.006110846996307373,-1.3625621519963715e-08,-0.09335789084434509,0.0,-7.916821960882833,1.5206859952582081,-1.7612482249736787,1.0859921670027645e-05,-0.012221689167703428,-0.18671578168869019,-1.5699055194854736,-8.195409774780273,1.6126290559768677,-1.441596508026123,-0.29287412762641907,-0.21801859140396118,-0.4867345690727234,0.03986286371946335,0.02793889120221138,-1.5699055194854736
2,0.2022,0.010705053806304932,-1.902988344681944e-08,-0.16931545734405518,0.0,-7.916607921391775,1.518555710259407,-1.7951113164424897,0.0021403949105816404,-0.02130284998801192,-0.33863091468811035,-1.4706560373306274,-8.228660583496094,1.5869503021240234,-1.4889596700668335,-0.24460794031620026,-0.2309548407793045,-0.4824383556842804,0.06149620562791824,0.014090260490775108,-1.4706560373306274
3,0.3005,0.01357656717300415,-2.492354411742781e-08,-0.23653867840766907,0.0,-7.916336468309932,1.5158539996397242,-1.8424190521240236,0.0027145308184264717,-0.027017106196827838,-0.47307735681533813,-1.4706560373306274,-8.228660583496094,1.5869503021240234,-1.4889596700668335,-0.24460794031620026,-0.2309548407793045,-0.4824383556842804,0.06149620562791824,0.014090260490775108,-1.4706560373306274
4,0.4016,0.013966619968414307,-2.817282052092196e-08,-0.28262412548065186,0.0,-7.9158142440982315,1.513109925878611,-1.898943877220154,0.005222242117005121,-0.027440737611131916,-0.5652482509613037,-1.3827333450317383,-8.275314331054688,1.535678744316101,-1.5758702754974365,-0.12653900682926178,-0.231237530708313,-0.39422449469566345,0.08046229928731918,0.0240318700671196,-1.3827333450317383
5,0.5015,0.011237144470214844,-2.677901278502759e-08,-0.28836989402770996,0.0,-7.915108935676258,1.5109760381909145,-1.956617856025696,0.007053084219729309,-0.021338876876963182,-0.5767397880554199,-1.2515708208084106,-8.28276252746582,1.488088846206665,-1.6405110359191895,0.03677119314670563,-0.19232407212257385,-0.28180280327796936,0.1059199795126915,0.049870237708091736,-1.2515708208084106
6,0.6019,0.005138099193572998,-2.3129155479750807e-08,-0.253286749124527,0.0,-7.9147864408096,1.5100003335255983,-2.0072752058506014,0.0032249486665874255,-0.009757046653162923,-0.506573498249054,-1.2515708208084106,-8.28276252746582,1.488088846206665,-1.6405110359191895,0.03677119314670563,-0.19232407212257385,-0.28180280327796936,0.1059199795126915,0.049870237708091736,-1.2515708208084106
7,0.7012,-0.0014535784721374512,-1.8429805237474284e-08,-0.20130401849746704,0.0,-7.914896054727321,1.5102695925162408,-2.047536009550095,-0.0010961391772141423,0.0026925899064248015,-0.4026080369949341,-1.1842014789581299,-8.254389762878418,1.452781319618225,-1.6850377321243286,0.1613359898328781,-0.12769971787929535,-0.18172064423561096,0.06369948387145996,0.05333184450864792,-1.1842014789581299
8,0.8021,-0.00588458776473999,-1.106110403270577e-08,-0.15704673528671265,0.0,-7.915360228985277,1.5113511086671574,-2.0789453566074374,-0.004641742579554476,0.010815161509166228,-0.3140934705734253,-1.1653852462768555,-8.232978820800781,1.442214846611023,-1.7023531198501587,0.20723804831504822,-0.09817498177289963,-0.1627778708934784,0.03931570053100586,0.05202087014913559,-1.1653852462768555
9,0.9011,-0.007559478282928467,1.3215171179581375e-09,-0.1295640468597412,0.0,-7.915980241597393,1.5127300259370542,-2.1048581659793855,-0.006200126121161985,0.01378917269896785,-0.2591280937194824,-1.1482439041137695,-8.232978820800781,1.442214846611023,-1.7023531198501587,0.20723804831504822,-0.09817498177289963,-0.1627778708934784,0.018100082874298096,0.04938960075378418,-1.1482439041137695
