t,vx,vz,yaw_rate,lat,lon,rel_alt,p_n,p_e,p_d,yaw
0.002,0.0,-0.311,0.0,30.200126,-97.8877306,1.16,0.012,-0.312,-0.993,-2.0784
0.101,0.0,-0.294,0.0,30.2001255,-97.8877305,1.172,-0.037,-0.311,-1.004,-2.086
0.201,0.0,-0.286,0.0,30.2001255,-97.8877305,1.172,-0.062,-0.314,-1.009,-2.0749
0.301,0.0,-0.284,0.0,30.2001255,-97.8877305,1.172,-0.085,-0.318,-1.011,-2.0485
0.401,0.0,-0.285,0.0,30.2001248,-97.8877306,1.179,-0.106,-0.324,-1.01,-2.0311
0.501,0.0,-0.285,0.0,30.2001248,-97.8877306,1.179,-0.106,-0.324,-1.01,-2.0311
0.601,0.0,-0.281,0.0,30.2001248,-97.8877306,1.179,-0.123,-0.331,-1.013,-1.9877
0.701,0.0,-0.264,0.0,30.2001248,-97.8877306,1.179,-0.144,-0.348,-1.024,-1.9379
0.801,0.0,-0.246,0.0,30.2001244,-97.8877309,1.197,-0.145,-0.357,-1.036,-1.8839
0.901,0.0,-0.246,0.0,30.2001244,-97.8877309,1.197,-0.145,-0.357,-1.036,-1.8543
1.001,0.0,-0.246,0.0,30.2001244,-97.8877309,1.197,-0.145,-0.357,-1.036,-1.8543
1.101,0.0,-0.149,0.0,30.2001247,-97.8877312,1.262,-0.106,-0.382,-1.1,-1.7343
1.201,0.0,-0.149,0.0,30.2001247,-97.8877312,1.262,-0.106,-0.382,-1.1,-1.7343
1.301,0.0,-0.06,0.0,30.2001247,-97.8877312,1.262,-0.066,-0.415,-1.16,-1.6508
1.401,0.0,-0.06,0.0,30.2001247,-97.8877312,1.262,-0.066,-0.415,-1.16,-1.6508
1.501,0.0,0.027,0.0,30.2001252,-97.8877318,1.363,-0.032,-0.456,-1.218,-1.594
1.601,0.0,0.027,0.0,30.2001252,-97.8877318,1.363,-0.032,-0.456,-1.218,-1.594
1.701,0.0,0.027,0.0,30.2001252,-97.8877318,1.363,-0.032,-0.456,-1.218,-1.5812
1.802,0.0,0.127,-0.5,30.2001257,-97.8877326,1.442,0.008,-0.529,-1.284,-1.553
1.901,0.0,0.151,0.0,30.2001257,-97.8877326,1.442,0.019,-0.551,-1.301,-1.5373
2.001,0.0,0.151,0.0,30.2001257,-97.8877326,1.442,0.019,-0.551,-1.301,-1.5373
2.101,0.0,0.17,0.0,30.2001257,-97.8877326,1.442,0.031,-0.572,-1.313,-1.5246
2.201,0.0,0.179,0.0,30.200126,-97.8877333,1.488,0.044,-0.592,-1.319,-1.5179
2.301,0.0,0.18,0.0,30.200126,-97.8877333,1.488,0.059,-0.61,-1.32,-1.5195
2.401,0.0,0.18,0.0,30.200126,-97.8877333,1.488,0.059,-0.61,-1.32,-1.5195
